"","tpr","fpr","tnr","fnr","thd"
"1",0,0,1,1,1
"2",0.526881720430108,0.0225988700564972,0.977401129943503,0.473118279569892,0.984227361130159
"3",0.612903225806452,0.0282485875706215,0.971751412429379,0.387096774193548,0.97805807820752
"4",0.666666666666667,0.0282485875706215,0.971751412429379,0.333333333333333,0.972145607027984
"5",0.67741935483871,0.0395480225988701,0.96045197740113,0.32258064516129,0.970507113320875
"6",0.688172043010753,0.0395480225988701,0.96045197740113,0.311827956989247,0.966574728422512
"7",0.71505376344086,0.0508474576271186,0.949152542372881,0.28494623655914,0.952804165800446
"8",0.720430107526882,0.0508474576271186,0.949152542372881,0.279569892473118,0.949862092583961
"9",0.827956989247312,0.0508474576271186,0.949152542372881,0.172043010752688,0.949117966841866
"10",0.838709677419355,0.0508474576271186,0.949152542372881,0.161290322580645,0.928532026480156
"11",0.844086021505376,0.0508474576271186,0.949152542372881,0.155913978494624,0.916436820807243
"12",0.849462365591398,0.0677966101694915,0.932203389830508,0.150537634408602,0.911683583805988
"13",0.870967741935484,0.0734463276836158,0.926553672316384,0.129032258064516,0.898122609819457
"14",0.876344086021505,0.0790960451977401,0.92090395480226,0.123655913978495,0.874655230899567
"15",0.876344086021505,0.0847457627118644,0.915254237288136,0.123655913978495,0.807586217506811
"16",0.897849462365591,0.101694915254237,0.898305084745763,0.102150537634409,0.802054601476521
"17",0.924731182795699,0.101694915254237,0.898305084745763,0.0752688172043011,0.788408497128696
"18",0.940860215053763,0.107344632768362,0.892655367231638,0.0591397849462366,0.717331344583814
"19",0.956989247311828,0.135593220338983,0.864406779661017,0.043010752688172,0.256560798246829
"20",0.956989247311828,0.141242937853107,0.858757062146893,0.043010752688172,0.214088707550742
"21",0.962365591397849,0.146892655367232,0.853107344632768,0.0376344086021505,0.166513433610444
"22",0.967741935483871,0.146892655367232,0.853107344632768,0.032258064516129,0.149862089939929
"23",0.967741935483871,0.152542372881356,0.847457627118644,0.032258064516129,0.124655225311631
"24",0.967741935483871,0.163841807909605,0.836158192090395,0.032258064516129,0.0999448362600062
"25",0.973118279569892,0.163841807909605,0.836158192090395,0.0268817204301075,0.0997241801007043
"26",0.973118279569892,0.169491525423729,0.830508474576271,0.0268817204301075,0.0623276124236271
"27",0.989247311827957,0.423728813559322,0.576271186440678,0.010752688172043,0.06138085002949
"28",0.989247311827957,0.457627118644068,0.542372881355932,0.010752688172043,0.0603210490487753
"29",0.989247311827957,0.468926553672316,0.531073446327684,0.010752688172043,0.055402322131403
"30",0.989247311827957,0.474576271186441,0.525423728813559,0.010752688172043,0.0498620899017515
"31",0.989247311827957,0.491525423728814,0.508474576271186,0.010752688172043,0.0384261777775776
"32",0.989247311827957,0.502824858757062,0.497175141242938,0.010752688172043,0.0237438522971015
"33",0.989247311827957,0.548022598870056,0.451977401129944,0.010752688172043,0.0172255276160635
"34",1,0.779661016949153,0.220338983050847,0,0.0162681094196139
"35",1,1,0,0,0.00122813028957663
