"","tpr","fpr","tnr","fnr","thd"
"1",0,0,1,1,1
"2",0.00537634408602151,0.00564971751412429,0.994350282485876,0.994623655913978,1
"3",0.403225806451613,0.0112994350282486,0.988700564971751,0.596774193548387,0.986970684039088
"4",0.446236559139785,0.0225988700564972,0.977401129943503,0.553763440860215,0.985294117647059
"5",0.575268817204301,0.0282485875706215,0.971751412429379,0.424731182795699,0.978021978021978
"6",0.586021505376344,0.0282485875706215,0.971751412429379,0.413978494623656,0.95
"7",0.623655913978495,0.0338983050847458,0.966101694915254,0.376344086021505,0.949152542372881
"8",0.650537634408602,0.0338983050847458,0.966101694915254,0.349462365591398,0.942857142857143
"9",0.704301075268817,0.0395480225988701,0.96045197740113,0.295698924731183,0.94047619047619
"10",0.876344086021505,0.0451977401129944,0.954802259887006,0.123655913978495,0.93956043956044
"11",0.881720430107527,0.0451977401129944,0.954802259887006,0.118279569892473,0.875
"12",0.903225806451613,0.0508474576271186,0.949152542372881,0.0967741935483871,0.864406779661017
"13",0.908602150537634,0.0564971751412429,0.943502824858757,0.0913978494623656,0.806451612903226
"14",0.908602150537634,0.0734463276836158,0.926553672316384,0.0913978494623656,0.705882352941177
"15",1,1,0,0,0.0611877624475105
